_,Country,Tot\.Area__Km_._,Tot\.Area__Km_.realName,Tot\.Area__mi_._,Tot\.Area__mi_.realName,LandArea__Km_._,LandArea__Km_.realName,LandArea__mi_._,LandArea__mi_.realName,_ofworld_landmass
"
  ,52
  
  
  
  
  
  
",Spain,"505,992",Tot.Area__Km²_,"195,365",Tot.Area__mi²_,"498,800",LandArea__Km²_,"192,588",LandArea__mi²_,0.30%
"
  ,53
  
  
  
  
  
  
",Turkmenistan,"488,100",Tot.Area__Km²_,"188,456",Tot.Area__mi²_,"469,930",LandArea__Km²_,"181,441",LandArea__mi²_,0.30%
"
  ,54
  
  
  
  
  
  
",Cameroon,"475,442",Tot.Area__Km²_,"183,569",Tot.Area__mi²_,"472,710",LandArea__Km²_,"182,514",LandArea__mi²_,0.30%
"
  ,55
  
  
  
  
  
  
",Papua New Guinea,"462,840",Tot.Area__Km²_,"178,703",Tot.Area__mi²_,"452,860",LandArea__Km²_,"174,850",LandArea__mi²_,0.30%
"
  ,56
  
  
  
  
  
  
",Sweden,"450,295",Tot.Area__Km²_,"173,860",Tot.Area__mi²_,"410,340",LandArea__Km²_,"158,433",LandArea__mi²_,0.30%
"
  ,57
  
  
  
  
  
  
",Uzbekistan,"447,400",Tot.Area__Km²_,"172,742",Tot.Area__mi²_,"425,400",LandArea__Km²_,"164,248",LandArea__mi²_,0.30%
"
  ,58
  
  
  
  
  
  
",Morocco,"446,550",Tot.Area__Km²_,"172,414",Tot.Area__mi²_,"446,300",LandArea__Km²_,"172,317",LandArea__mi²_,0.30%
"
  ,59
  
  
  
  
  
  
",Iraq,"438,317",Tot.Area__Km²_,"169,235",Tot.Area__mi²_,"434,320",LandArea__Km²_,"167,692",LandArea__mi²_,0.30%
"
  ,60
  
  
  
  
  
  
",Paraguay,"406,752",Tot.Area__Km²_,"157,048",Tot.Area__mi²_,"397,300",LandArea__Km²_,"153,398",LandArea__mi²_,0.30%
"
  ,61
  
  
  
  
  
  
",Zimbabwe,"390,757",Tot.Area__Km²_,"150,872",Tot.Area__mi²_,"386,850",LandArea__Km²_,"149,364",LandArea__mi²_,0.30%
"
  ,62
  
  
  
  
  
  
",Japan,"377,930",Tot.Area__Km²_,"145,920",Tot.Area__mi²_,"364,555",LandArea__Km²_,"140,755",LandArea__mi²_,0.20%
"
  ,63
  
  
  
  
  
  
",Germany,"357,114",Tot.Area__Km²_,"137,882",Tot.Area__mi²_,"348,560",LandArea__Km²_,"134,580",LandArea__mi²_,0.20%
"
  ,64
  
  
  
  
  
  
",Philippines,"342,353",Tot.Area__Km²_,"132,183",Tot.Area__mi²_,"298,170",LandArea__Km²_,"115,124",LandArea__mi²_,0.20%
"
  ,65
  
  
  
  
  
  
",Congo,"342,000",Tot.Area__Km²_,"132,047",Tot.Area__mi²_,"341,500",LandArea__Km²_,"131,854",LandArea__mi²_,0.20%
"
  ,66
  
  
  
  
  
  
",Finland,"338,424",Tot.Area__Km²_,"130,666",Tot.Area__mi²_,"303,890",LandArea__Km²_,"117,333",LandArea__mi²_,0.20%
"
  ,67
  
  
  
  
  
  
",Vietnam,"331,212",Tot.Area__Km²_,"127,882",Tot.Area__mi²_,"310,070",LandArea__Km²_,"119,719",LandArea__mi²_,0.20%
"
  ,68
  
  
  
  
  
  
",Malaysia,"330,803",Tot.Area__Km²_,"127,724",Tot.Area__mi²_,"328,550",LandArea__Km²_,"126,854",LandArea__mi²_,0.20%
"
  ,69
  
  
  
  
  
  
",Norway,"323,802",Tot.Area__Km²_,"125,021",Tot.Area__mi²_,"365,268",LandArea__Km²_,"141,031",LandArea__mi²_,0.20%
"
  ,70
  
  
  
  
  
  
",Côte d'Ivoire,"322,463",Tot.Area__Km²_,"124,504",Tot.Area__mi²_,"318,000",LandArea__Km²_,"122,780",LandArea__mi²_,0.20%
"
  ,71
  
  
  
  
  
  
",Poland,"312,679",Tot.Area__Km²_,"120,726",Tot.Area__mi²_,"306,230",LandArea__Km²_,"118,236",LandArea__mi²_,0.20%
"
  ,72
  
  
  
  
  
  
",Oman,"309,500",Tot.Area__Km²_,"119,499",Tot.Area__mi²_,"309,500",LandArea__Km²_,"119,499",LandArea__mi²_,0.20%
"
  ,73
  
  
  
  
  
  
",Italy,"301,336",Tot.Area__Km²_,"116,346",Tot.Area__mi²_,"294,140",LandArea__Km²_,"113,568",LandArea__mi²_,0.20%
